Visa groupings(d),Detailed Visa groupings,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22(g),Total
Permanent visas,Family,"35,230","35,510","32,050","31,590","29,680","26,280","24,290","20,300","15,650",24790,"275,370"
Permanent visas,Skilled (permanent),"38,020","40,330","42,240","41,850","46,140","43,320","38,230","27,280","14,620",27240,"359,270"
Permanent visas,Special eligibility & humanitarian,"8,540","13,170","11,690","11,080","24,120","12,190","15,340","13,000",590,7340,"117,060"
Permanent visas,Other (permanent),"4,960","5,340","5,510","6,070","6,270","6,130","7,530","10,320","6,090",8520,"66,740"
Permanent visas,Total permanent visas,"86,760","94,350","91,490","90,590","106,200","87,910","85,390","70,890","36,950",67900,"818,430"
Temporary visas,Student - vocational education and training,"8,460","9,740","11,180","15,270","16,300","19,650","22,650","11,420",120,19970,"134,760"
Temporary visas,Student - higher education,"56,500","79,140","85,070","89,170","101,440","106,520","111,310","75,950",730,96880,"802,710"
Temporary visas,Student - other,"21,260","25,450","25,870","27,690","31,670","31,460","30,390","23,070",670,20120,"237,650"
Temporary visas,Skilled (temporary),"43,460","32,870","31,490","30,490","32,690","26,940","32,600","22,840","8,950",22470,"284,800"
Temporary visas,Working holiday,"59,250","54,190","51,600","50,100","50,330","50,990","49,090","43,950","1,020",13480,"424,000"
Temporary visas,Visitors,"47,920","44,440","50,240","60,550","72,270","79,430","91,220","117,740","7,700",39010,"610,520"
Temporary visas,Other (temporary),"7,220","7,330","7,480","8,490","10,120","12,320","13,410","18,680","10,390",27960,"123,400"
Temporary visas,Total temporary visas,"244,060","253,160","262,930","281,760","314,820","327,300","350,670","313,660","29,580",239890,"2,617,830"
Others,New Zealand citizens (subclass 444)(h),"54,120","37,770","31,750","33,700","32,330","30,380","30,540","22,220","16,950",23230,"312,990"
Others,Australian citizens (no visa),"77,100","72,180","71,680","75,800","79,280","77,160","78,900","96,410","61,370",61160,"751,040"
