Month,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jan,"126,921","148,797","162,554","177,276","190,499","213,154","245,504","298,817","317,051","286,471","261,435","249,345","262,481","297,081","330,475","387,779","437,147","486,056","529,259","461,572","382,568"
Feb,"159,130","184,586","201,974","229,867","246,707","275,702","309,396","368,380","383,561","366,830","331,149","305,611","321,439","356,707","428,412","481,422","537,837","578,923","610,357","509,319","454,248"
Mar,"188,018","214,355","232,481","245,817","264,432","295,769","344,418","410,120","427,355","384,606","349,813","338,213","370,300","410,731","456,077","517,341","575,873","636,594","663,122","554,174","476,697"
Apr,"196,147","221,680","240,337","253,588","272,821","311,438","365,384","434,553","446,626","400,250","367,385","355,978","389,788","432,244","480,185","542,821","606,165","671,194","689,084","574,598","501,623"
May,"201,150","227,011","245,707","259,620","280,349","320,488","376,357","448,421","459,548","413,593","377,089","367,397","403,939","446,830","497,898","564,188","624,906","691,173","706,098","591,370","522,243"
Jun,"206,037","233,900","251,648","266,059","287,335","329,814","392,859","467,419","473,092","425,445","387,786","378,482","420,572","462,675","513,592","581,103","643,152","708,741","724,303","600,850","534,962"
Jul,"241,200","271,408","290,318","304,520","331,686","388,325","457,823","544,257","538,926","480,791","443,595","441,402","490,587","538,240","595,744","679,494","747,824","805,528","775,259","644,408","606,630"
Aug,"249,454","280,468","300,131","315,583","342,734","402,008","474,557","565,484","557,267","499,404","458,563","459,809","510,691","561,810","622,547","703,545","773,135","841,037","809,424","664,983","640,454"
Sep,"257,366","288,566","307,262","324,157","352,967","414,235","495,029","584,535","573,601","514,221","472,223","478,478","530,741","582,283","643,984","725,329","796,370","875,147","829,787","681,671","670,515"
Oct,"267,926","299,852","317,203","336,040","368,104","434,742","519,869","610,490","596,952","537,517","494,573","501,616","559,733","611,393","678,139","761,993","835,541","912,656","855,347","698,600","709,134"
Nov,"273,550","306,735","324,778","344,255","378,854","447,939","538,738","629,380","614,129","551,006","508,626","519,162","580,064","637,191","703,121","788,157","865,045","943,524","875,870","712,948","737,717"
Dec,"275,760","308,804","326,617","346,351","381,969","452,843","544,894","632,949","617,190","554,440","513,251","524,324","586,445","641,805","709,036","795,829","872,593","952,365","879,997","716,025","746,387"
Average,"220,222","248,847","266,751","283,594","308,205","357,205","422,069","499,567","500,442","451,215","413,791","409,985","452,232","498,249","554,934","627,417","692,966","758,578","745,659","617,543","581,932"
